run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200602-00:48:04-2463,runattr,,,configname,General,,,
General-0-20200602-00:48:04-2463,runattr,,,datetime,20200602-00:48:04,,,
General-0-20200602-00:48:04-2463,runattr,,,experiment,General,,,
General-0-20200602-00:48:04-2463,runattr,,,inifile,omnetpp.ini,,,
General-0-20200602-00:48:04-2463,runattr,,,iterationvars,,,,
General-0-20200602-00:48:04-2463,runattr,,,iterationvarsf,,,,
General-0-20200602-00:48:04-2463,runattr,,,measurement,,,,
General-0-20200602-00:48:04-2463,runattr,,,network,Network,,,
General-0-20200602-00:48:04-2463,runattr,,,processid,2463,,,
General-0-20200602-00:48:04-2463,runattr,,,repetition,0,,,
General-0-20200602-00:48:04-2463,runattr,,,replication,#0,,,
General-0-20200602-00:48:04-2463,runattr,,,resultdir,results,,,
General-0-20200602-00:48:04-2463,runattr,,,runnumber,0,,,
General-0-20200602-00:48:04-2463,runattr,,,seedset,0,,,
General-0-20200602-00:48:04-2463,param,,,Network.node[0].app.interArrivalTime,exponential(3.5),,,
General-0-20200602-00:48:04-2463,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20200602-00:48:04-2463,param,,,Network.node[0].app.destination,5,,,
General-0-20200602-00:48:04-2463,param,,,Network.node[2].app.interArrivalTime,exponential(3.5),,,
General-0-20200602-00:48:04-2463,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20200602-00:48:04-2463,param,,,Network.node[2].app.destination,5,,,
General-0-20200602-00:48:04-2463,vector,Network.node[0].app,General Delay,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[0].app,Hop Count,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[0].app,Source Node,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[0].net,PaquetesProcesados,,,,"0 3.144961359694 6.376242319842 8.508814742261 13.206650995438 15.135320698784 17.840392921908 18.554843191161 20.252791764187 21.488848751168 21.693195092994 23.488267663322 32.384849633395 33.295388072743 36.350519219593 38.786524484424 41.420883881019 44.35889886617 44.491847406004 50.688191291132 50.94609003526 52.386613022109 52.705676613544 55.331788738031 56.361820392622 57.010646777821 67.387415142988 68.537098505087 74.530537898679 76.207506395711 76.776520003052 82.394858452767 88.043865714891 90.616241189055 91.8320360464 94.592027485041 95.032587918074 99.495884875857 100.037438757607 100.714923515588 102.735360062243 107.710136442571 110.292531963717 110.684343525931 112.558823546729 113.634304779263 113.89851937119 114.35601626637 119.029531912554 121.161320393695 121.35334271843 121.669793489218 121.736183481422 123.107381318791 125.148683905651 126.472214605521 127.352261367783 129.030649988824 129.062211040361 139.134913614833 140.540264719363 141.227024883697 142.786339616376 144.79720303997 147.871482103052 152.423823691365 152.9394317559 156.785625392328 160.491544852535 164.37863591244 164.86173632194 164.891975103588 166.37468980594 169.252970781101 169.723385736209 171.305742946995 173.905080190865 174.261240224342 176.062856326134 189.851979185958 190.672034501672 190.758718091405 194.200101860642 194.837833416684 197.905701363471","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84"
General-0-20200602-00:48:04-2463,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 3.144961359694 3.144961359694 8.508814742261 8.508814742261 13.206650995438 13.206650995438 17.840392921908 17.840392921908 18.554843191161 18.840392921908 21.488848751168 21.488848751168 23.488267663322 23.488267663322 32.384849633395 32.384849633395 33.295388072743 33.384849633395 36.350519219593 36.350519219593 41.420883881019 41.420883881019 44.491847406004 44.491847406004 50.688191291132 50.688191291132 52.386613022109 52.386613022109 55.331788738031 55.331788738031 56.361820392622 56.361820392622 57.010646777821 57.361820392622 68.537098505087 68.537098505087 74.530537898679 74.530537898679 76.207506395711 76.207506395711 82.394858452767 82.394858452767 90.616241189055 90.616241189055 91.8320360464 91.8320360464 95.032587918074 95.032587918074 100.037438757607 100.037438757607 100.714923515588 101.037438757607 107.710136442571 107.710136442571 110.684343525931 110.684343525931 113.634304779263 113.634304779263 113.89851937119 114.634304779263 119.029531912554 119.029531912554 121.35334271843 121.35334271843 121.669793489218 122.35334271843 123.107381318791 123.35334271843 125.148683905651 125.148683905651 127.352261367783 127.352261367783 129.030649988824 129.030649988824 139.134913614833 139.134913614833 140.540264719363 140.540264719363 142.786339616376 142.786339616376 147.871482103052 147.871482103052 152.423823691365 152.423823691365 152.9394317559 153.423823691365 160.491544852535 160.491544852535 164.86173632194 164.86173632194 164.891975103588 165.86173632194 166.37468980594 166.86173632194 169.252970781101 169.252970781101 171.305742946995 171.305742946995 173.905080190865 173.905080190865 176.062856326134 176.062856326134 189.851979185958 189.851979185958 190.758718091405 190.851979185958 194.200101860642 194.200101860642 194.837833416684 195.200101860642","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200602-00:48:04-2463,vector,Network.node[0].lnk[1],Buffer Size,,,,"0 6.376242319842 6.376242319842 15.135320698784 15.135320698784 20.252791764187 20.252791764187 21.693195092994 21.693195092994 38.786524484424 38.786524484424 44.35889886617 44.35889886617 50.94609003526 50.94609003526 52.705676613544 52.705676613544 67.387415142988 67.387415142988 76.776520003052 76.776520003052 88.043865714891 88.043865714891 94.592027485041 94.592027485041 99.495884875857 99.495884875857 102.735360062243 102.735360062243 110.292531963717 110.292531963717 112.558823546729 112.558823546729 114.35601626637 114.35601626637 121.161320393695 121.161320393695 121.736183481422 122.161320393695 126.472214605521 126.472214605521 129.062211040361 129.062211040361 141.227024883697 141.227024883697 144.79720303997 144.79720303997 156.785625392328 156.785625392328 164.37863591244 164.37863591244 169.723385736209 169.723385736209 174.261240224342 174.261240224342 190.672034501672 190.672034501672 197.905701363471 197.905701363471","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200602-00:48:04-2463,vector,Network.node[1].app,General Delay,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[1].app,Hop Count,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[1].app,Source Node,,,,"0","0"
General-0-20200602-00:48:04-2463,vector,Network.node[1].net,PaquetesProcesados,,,,"0 7.376342319842 7.508714742261 16.135420698784 16.840292921908 21.252891764187 22.488167663322 22.693295092994 31.384749633395 35.350419219593 39.786624484424 43.491747406004 45.35899886617 51.94619003526 53.705776613544 54.331688738031 56.010546777821 67.536998505087 68.387515142988 75.207406395711 77.776620003052 89.043965714891 90.8319360464 95.592127485041 99.714823515588 100.495984875857 103.735460062243 111.292631963717 112.89841937119 113.558923546729 115.35611626637 120.35324271843 122.161420393695 123.161420393695 124.148583905651 127.472314605521 128.030549988824 130.062311040361 139.540164719363 142.227124883697 145.79730303997 146.871382103052 151.423723691365 157.785725392328 163.891875103588 165.37458980594 165.37873591244 168.252870781101 170.723485736209 172.904980190865 175.062756326134 175.261340224342 189.758618091405 191.672134501672 193.837733416684 198.905801363471","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55"
General-0-20200602-00:48:04-2463,vector,Network.node[1].lnk[0],Buffer Size,,,,"0 7.508714742261 7.508714742261 16.840292921908 16.840292921908 22.488167663322 22.488167663322 31.384749633395 31.384749633395 35.350419219593 35.350419219593 43.491747406004 43.491747406004 54.331688738031 54.331688738031 56.010546777821 56.010546777821 67.536998505087 67.536998505087 75.207406395711 75.207406395711 90.8319360464 90.8319360464 99.714823515588 99.714823515588 112.89841937119 112.89841937119 120.35324271843 120.35324271843 124.148583905651 124.148583905651 128.030549988824 128.030549988824 139.540164719363 139.540164719363 146.871382103052 146.871382103052 151.423723691365 151.423723691365 163.891875103588 163.891875103588 165.37458980594 165.37458980594 168.252870781101 168.252870781101 172.904980190865 172.904980190865 175.062756326134 175.062756326134 189.758618091405 189.758618091405 193.837733416684 193.837733416684","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
