run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200602-01:13:41-3087,runattr,,,configname,General,,,
General-0-20200602-01:13:41-3087,runattr,,,datetime,20200602-01:13:41,,,
General-0-20200602-01:13:41-3087,runattr,,,experiment,General,,,
General-0-20200602-01:13:41-3087,runattr,,,inifile,omnetpp.ini,,,
General-0-20200602-01:13:41-3087,runattr,,,iterationvars,,,,
General-0-20200602-01:13:41-3087,runattr,,,iterationvarsf,,,,
General-0-20200602-01:13:41-3087,runattr,,,measurement,,,,
General-0-20200602-01:13:41-3087,runattr,,,network,Network,,,
General-0-20200602-01:13:41-3087,runattr,,,processid,3087,,,
General-0-20200602-01:13:41-3087,runattr,,,repetition,0,,,
General-0-20200602-01:13:41-3087,runattr,,,replication,#0,,,
General-0-20200602-01:13:41-3087,runattr,,,resultdir,results,,,
General-0-20200602-01:13:41-3087,runattr,,,runnumber,0,,,
General-0-20200602-01:13:41-3087,runattr,,,seedset,0,,,
General-0-20200602-01:13:41-3087,param,,,Network.node[0].app.interArrivalTime,exponential(3.5),,,
General-0-20200602-01:13:41-3087,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20200602-01:13:41-3087,param,,,Network.node[0].app.destination,5,,,
General-0-20200602-01:13:41-3087,param,,,Network.node[2].app.interArrivalTime,exponential(3.5),,,
General-0-20200602-01:13:41-3087,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20200602-01:13:41-3087,param,,,Network.node[2].app.destination,5,,,
General-0-20200602-01:13:41-3087,vector,Network.node[0].app,General Delay,,,,"0","0"
General-0-20200602-01:13:41-3087,vector,Network.node[0].app,Hop Count,,,,"0","0"
General-0-20200602-01:13:41-3087,vector,Network.node[0].app,Source Node,,,,"0","0"
General-0-20200602-01:13:41-3087,vector,Network.node[0].net,PaquetesProcesados,,,,"0 0.000116 0.000232 0.000348 0.000464 0.00058 0.000696 0.000812 0.000928 3.144961359694 6.376242319842 13.206650995438 15.135320698784 18.554843191161 20.252791764187 21.488848751168 21.693195092994 33.295388072743 38.786524484424 41.420883881019 44.35889886617 50.688191291132 50.94609003526 52.386613022109 52.705676613544 56.361820392622 67.387415142988 74.530537898679 76.776520003052 82.394858452767 88.043865714891 90.616241189055 94.592027485041 95.032587918074 99.495884875857 100.037438757607 102.735360062243 107.710136442571 110.292531963717 110.684343525931 112.558823546729 113.634304779263 114.35601626637 119.029531912554 121.161320393695 121.669793489218 121.736183481422 123.107381318791 126.472214605521 127.352261367783 129.062211040361 139.134913614833 141.227024883697 142.786339616376 144.79720303997 152.9394317559 156.785625392328 160.491544852535 164.37863591244 164.86173632194 169.723385736209 171.305742946995 174.261240224342 189.851979185958 190.672034501672 194.200101860642 197.905701363471","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66"
