run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200528-01:11:39-3998,runattr,,,configname,General,,,
General-0-20200528-01:11:39-3998,runattr,,,datetime,20200528-01:11:39,,,
General-0-20200528-01:11:39-3998,runattr,,,experiment,General,,,
General-0-20200528-01:11:39-3998,runattr,,,inifile,omnetpp.ini,,,
General-0-20200528-01:11:39-3998,runattr,,,iterationvars,,,,
General-0-20200528-01:11:39-3998,runattr,,,iterationvarsf,,,,
General-0-20200528-01:11:39-3998,runattr,,,measurement,,,,
General-0-20200528-01:11:39-3998,runattr,,,network,Network,,,
General-0-20200528-01:11:39-3998,runattr,,,processid,3998,,,
General-0-20200528-01:11:39-3998,runattr,,,repetition,0,,,
General-0-20200528-01:11:39-3998,runattr,,,replication,#0,,,
General-0-20200528-01:11:39-3998,runattr,,,resultdir,results,,,
General-0-20200528-01:11:39-3998,runattr,,,runnumber,0,,,
General-0-20200528-01:11:39-3998,runattr,,,seedset,0,,,
General-0-20200528-01:11:39-3998,param,,,Network.node[0].app.interArrivalTime,exponential(7),,,
General-0-20200528-01:11:39-3998,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20200528-01:11:39-3998,param,,,Network.node[0].app.destination,5,,,
General-0-20200528-01:11:39-3998,param,,,Network.node[2].app.interArrivalTime,exponential(7),,,
General-0-20200528-01:11:39-3998,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20200528-01:11:39-3998,param,,,Network.node[2].app.destination,5,,,
General-0-20200528-01:11:39-3998,vector,Network.node[0].app,Hop Count,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[0].app,Source Node,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 6.289922719388 6.289922719388 12.752484639684 12.752484639684 15.017429484523 15.017429484523 20.527837464396 20.527837464396 26.413301990875 26.413301990875 30.270641397567 30.270641397567 33.680585843815 33.680585843815 37.109686382321 37.109686382321 40.505583528373 40.505583528373 40.947700948462 41.505583528373 42.977697502336 42.977697502336 43.386390185988 43.977697502336 44.976335326643 44.977697502336 60.541006280897 60.541006280897 62.76949926679 62.76949926679 66.154714001429 66.154714001429 66.590776145486 67.154714001429 70.700838439185 70.700838439185 77.573048968847 77.573048968847 82.40631684146 82.40631684146 82.841767762037 83.40631684146 86.983494812008 86.983494812008 88.717797732339 88.717797732339 90.475598875119 90.475598875119 101.376382582264 101.376382582264 101.89218007052 102.376382582264 104.773226044218 104.773226044218 105.411353227088 105.773226044218 108.663377476062 108.663377476062 109.663377476062 109.663377476062 112.021093555642 112.021093555642 112.723640785245 113.021093555642 124.533507199713 124.533507199713 134.774830285976 134.774830285976 135.073997010175 135.774830285976 136.13261298583 136.774830285976 149.061075797358 149.061075797358 150.414812791423 150.414812791423 153.553040006105 153.553040006105 164.789716905536 164.789716905536 176.087731429784 176.087731429784 177.331365875416 177.331365875416 181.232482378113 181.232482378113 181.663872092803 182.232482378113 189.184054970085 189.184054970085 190.065175836152 190.184054970085 192.279623910734 192.279623910734 198.991769751717 198.991769751717 199.429647031178 199.991769751717","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200528-01:11:39-3998,vector,Network.node[0].lnk[1],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[0].net,PaquetesProcesados,,,,"0 6.289922719388 12.752484639684 15.017429484523 20.527837464396 26.413301990875 30.270641397567 33.680585843815 37.109686382321 40.505583528373 40.947700948462 42.977697502336 43.386390185988 44.976335326643 60.541006280897 62.76949926679 66.154714001429 66.590776145486 70.700838439185 77.573048968847 82.40631684146 82.841767762037 86.983494812008 88.717797732339 90.475598875119 101.376382582264 101.89218007052 104.773226044218 105.411353227088 108.663377476062 109.663377476062 112.021093555642 112.723640785245 124.533507199713 134.774830285976 135.073997010175 136.13261298583 149.061075797358 150.414812791423 153.553040006105 164.789716905536 176.087731429784 177.331365875416 181.232482378113 181.663872092803 189.184054970085 190.065175836152 192.279623910734 198.991769751717 199.429647031178","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49"
General-0-20200528-01:11:39-3998,vector,Network.node[1].app,Delay,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[1].app,Hop Count,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[1].app,Source Node,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[1].lnk[0],Buffer Size,,,,"0 14.017329484523 14.017329484523 19.527737464396 19.527737464396 32.680485843815 32.680485843815 39.947600948462 39.947600948462 43.976235326643 43.976235326643 59.540906280897 59.540906280897 61.76939926679 61.76939926679 65.154614001429 65.154614001429 69.700738439185 69.700738439185 81.40621684146 81.40621684146 85.983394812008 85.983394812008 89.475498875119 89.475498875119 107.663277476062 107.663277476062 108.663277476062 108.663277476062 111.020993555642 111.020993555642 123.533407199713 123.533407199713 134.073897010175 134.073897010175 135.13251298583 135.13251298583 149.414712791423 149.414712791423 176.331265875416 176.331265875416 180.663772092803 180.663772092803 191.279523910734 191.279523910734 198.429547031178 198.429547031178","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200528-01:11:39-3998,vector,Network.node[1].lnk[1],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[1].net,PaquetesProcesados,,,,"0 14.017329484523 19.527737464396 32.680485843815 39.947600948462 43.976235326643 59.540906280897 61.76939926679 65.154614001429 69.700738439185 81.40621684146 85.983394812008 89.475498875119 107.663277476062 108.663277476062 111.020993555642 123.533407199713 134.073897010175 135.13251298583 149.414712791423 176.331265875416 180.663772092803 191.279523910734 198.429547031178","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23"
General-0-20200528-01:11:39-3998,vector,Network.node[2].app,Hop Count,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[2].app,Source Node,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[2].app,Delay,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[2].lnk[0],Buffer Size,,,,"0 13.017229484523 13.017229484523 18.527637464396 18.527637464396 31.680385843815 31.680385843815 38.947500948462 38.947500948462 42.976135326643 42.976135326643 58.540806280897 58.540806280897 60.76929926679 60.76929926679 64.154514001429 64.154514001429 68.700638439185 68.700638439185 80.40611684146 80.40611684146 84.983294812008 84.983294812008 88.475398875119 88.475398875119 106.663177476062 106.663177476062 106.806156594855 107.663177476062 110.020893555642 110.020893555642 122.533307199713 122.533307199713 133.073797010175 133.073797010175 134.13241298583 134.13241298583 148.414612791423 148.414612791423 175.331165875416 175.331165875416 179.663672092803 179.663672092803 190.279423910734 190.279423910734 197.429447031178 197.429447031178","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200528-01:11:39-3998,vector,Network.node[2].lnk[1],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[2].net,PaquetesProcesados,,,,"0 13.017229484523 18.527637464396 31.680385843815 38.947500948462 42.976135326643 58.540806280897 60.76929926679 64.154514001429 68.700638439185 80.40611684146 84.983294812008 88.475398875119 106.663177476062 106.806156594855 110.020893555642 122.533307199713 133.073797010175 134.13241298583 148.414612791423 175.331165875416 179.663672092803 190.279423910734 197.429447031178","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23"
General-0-20200528-01:11:39-3998,vector,Network.node[3].app,Delay,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[3].app,Hop Count,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[3].app,Source Node,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[3].lnk[0],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[3].lnk[1],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[3].net,PaquetesProcesados,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].app,Delay,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].app,Source Node,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].app,Hop Count,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].lnk[0],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].lnk[1],Buffer Size,,,,"0","0"
General-0-20200528-01:11:39-3998,vector,Network.node[4].net,PaquetesProcesados,,,,"0","0"
