run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200531-19:40:33-2144,runattr,,,configname,General,,,
General-0-20200531-19:40:33-2144,runattr,,,datetime,20200531-19:40:33,,,
General-0-20200531-19:40:33-2144,runattr,,,experiment,General,,,
General-0-20200531-19:40:33-2144,runattr,,,inifile,omnetpp.ini,,,
General-0-20200531-19:40:33-2144,runattr,,,iterationvars,,,,
General-0-20200531-19:40:33-2144,runattr,,,iterationvarsf,,,,
General-0-20200531-19:40:33-2144,runattr,,,measurement,,,,
General-0-20200531-19:40:33-2144,runattr,,,network,Network,,,
General-0-20200531-19:40:33-2144,runattr,,,processid,2144,,,
General-0-20200531-19:40:33-2144,runattr,,,repetition,0,,,
General-0-20200531-19:40:33-2144,runattr,,,replication,#0,,,
General-0-20200531-19:40:33-2144,runattr,,,resultdir,results,,,
General-0-20200531-19:40:33-2144,runattr,,,runnumber,0,,,
General-0-20200531-19:40:33-2144,runattr,,,seedset,0,,,
General-0-20200531-19:40:33-2144,param,,,Network.node[0].app.interArrivalTime,exponential(7),,,
General-0-20200531-19:40:33-2144,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20200531-19:40:33-2144,param,,,Network.node[0].app.destination,5,,,
General-0-20200531-19:40:33-2144,param,,,Network.node[2].app.interArrivalTime,exponential(7),,,
General-0-20200531-19:40:33-2144,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20200531-19:40:33-2144,param,,,Network.node[2].app.destination,5,,,
General-0-20200531-19:40:33-2144,vector,Network.node[0].app,General Delay,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[0].app,Hop Count,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[0].app,Source Node,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[0].net,PaquetesProcesados,,,,"0 0.000116 0.000232 0.000348 0.000464 0.00058 0.000696 0.000812 0.000928 6.289922719388 12.752484639684 26.413301990875 30.270641397567 37.109686382321 40.505583528373 42.977697502336 43.386390185988 66.590776145486 77.573048968847 82.841767762037 88.717797732339 101.376382582264 101.89218007052 104.773226044218 105.411353227088 112.723640785245 134.774830285976 149.061075797358 153.553040006105 164.789716905536 176.087731429784 181.232482378113 189.184054970085 190.065175836152 198.991769751717","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34"
General-0-20200531-19:40:33-2144,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 0 0 0.000116 0.000116 0.000232 0.000232 0.000348 0.000348 0.000464 0.000464 0.00058 0.00058 0.000696 0.000696 0.000812 0.000812 6.289922719388 6.289922719388 12.752484639684 12.752484639684 26.413301990875 26.413301990875 30.270641397567 30.270641397567 37.109686382321 37.109686382321 40.505583528373 40.505583528373 42.977697502336 42.977697502336 43.386390185988 43.977697502336 66.590776145486 66.590776145486 77.573048968847 77.573048968847 82.841767762037 82.841767762037 88.717797732339 88.717797732339 101.376382582264 101.376382582264 101.89218007052 102.376382582264 104.773226044218 104.773226044218 105.411353227088 105.773226044218 112.723640785245 112.723640785245 134.774830285976 134.774830285976 149.061075797358 149.061075797358 153.553040006105 153.553040006105 164.789716905536 164.789716905536 176.087731429784 176.087731429784 181.232482378113 181.232482378113 189.184054970085 189.184054970085 190.065175836152 190.184054970085 198.991769751717 198.991769751717","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200531-19:40:33-2144,vector,Network.node[0].lnk[1],Buffer Size,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[1].app,General Delay,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[1].app,Hop Count,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[1].app,Source Node,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[1].net,PaquetesProcesados,,,,"0 0.000116 0.000232 0.000348 0.000464 0.00058 0.000696 0.000812 0.000928","0 1 2 3 4 5 6 7 8"
General-0-20200531-19:40:33-2144,vector,Network.node[1].lnk[0],Buffer Size,,,,"0 0 0 0.000116 0.000116 0.000232 0.000232 0.000348 0.000348 0.000464 0.000464 0.00058 0.00058 0.000696 0.000696 0.000812 0.000812","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200531-19:40:33-2144,vector,Network.node[1].lnk[1],Buffer Size,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[2].app,General Delay,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[2].app,Hop Count,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[2].app,Source Node,,,,"0","0"
General-0-20200531-19:40:33-2144,vector,Network.node[2].net,PaquetesProcesados,,,,"0 0.000116 0.000232 0.000348 0.000464 0.00058 0.000696 0.000812 0.000928 13.017229484523 18.527637464396 31.680385843815 38.947500948462 42.976135326643 58.540806280897 60.76929926679 64.154514001429 68.700638439185 80.40611684146 84.983294812008 88.475398875119 106.663177476062 106.806156594855 110.020893555642 122.533307199713 133.073797010175 134.13241298583 148.414612791423 175.331165875416 179.663672092803 190.279423910734 197.429447031178","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31"
General-0-20200531-19:40:33-2144,vector,Network.node[2].lnk[0],Buffer Size,,,,"0 0 0 0.000116 0.000116 0.000232 0.000232 0.000348 0.000348 0.000464 0.000464 0.00058 0.00058 0.000696 0.000696 0.000812 0.000812","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
